,source,target,value
0,France,Russia,1
1,France,Russia,1
2,Germany,Russia,1
3,Austria,Germany,1
4,Austria,Hungary,1
5,Bulgaria,Hungary,1
6,France,Russia,1
7,Germany,Russia,1
8,Austria,Germany,1
9,Austria,Hungary,1
10,Bulgaria,Hungary,1
11,Bulgaria,Russia,1
12,France,Russia,1
13,Germany,Russia,1
14,Austria,Germany,1
15,Austria,Hungary,1
16,Bulgaria,Hungary,1
17,Bulgaria,Russia,1
18,Germany,Russia,1
19,Germany,Russia,1
20,France,Russia,1
21,Germany,Russia,1
22,Austria,Germany,1
23,Austria,Hungary,1
24,Bulgaria,Hungary,1
25,Bulgaria,Russia,1
26,Germany,Russia,1
27,Germany,Russia,1
28,Germany,Russia,1
29,France,Russia,1
30,Germany,Russia,1
31,Austria,Germany,1
32,Austria,Hungary,1
33,Bulgaria,Hungary,1
34,Bulgaria,Russia,1
35,Germany,Russia,1
36,Germany,Russia,1
37,Germany,Russia,1
38,Austria,Germany,1
39,Austria,Hungary,1
40,Bulgaria,Hungary,1
41,Bulgaria,Russia,1
42,Germany,Russia,1
43,Germany,Russia,1
44,Germany,Russia,1
45,Germany,Russia,1
46,Germany,Russia,1
47,Germany,Russia,1
48,Germany,Russia,1
49,Germany,Russia,1
50,Germany,Italy,1
51,Germany,Italy,1
52,Germany,Italy,1
53,Germany,Italy,1
54,Germany,Italy,1
55,Germany,Italy,1
56,Germany,Italy,1
57,Germany,Italy,1
58,Germany,Italy,1
59,Germany,Italy,1
60,Germany,Italy,1
61,Austria,Germany,1
62,Austria,Germany,1
63,Austria,Germany,1
64,Austria,Germany,1
65,Austria,Germany,1
66,Austria,Germany,1
67,Austria,Germany,1
68,Austria,Germany,1
69,Austria,Germany,1
70,Austria,Germany,1
71,Austria,Germany,1
72,France,Poland,1
73,France,Poland,1
74,France,Poland,1
75,France,Poland,1
76,France,Germany,1
77,Germany,Poland,1
78,France,Poland,1
79,France,Poland,1
80,France,Germany,1
81,Germany,Poland,1
82,France,Poland,1
83,France,Poland,1
84,France,Germany,1
85,Germany,Poland,1
86,France,Poland,1
87,France,Poland,1
88,France,Germany,1
89,Germany,Poland,1
90,France,Poland,1
91,France,Germany,1
92,Germany,Poland,1
93,France,Germany,1
94,Germany,Poland,1
95,Germany,Poland,1
96,Germany,Poland,1
97,Estonia,Germany,1
98,Estonia,Latvia,1
99,Latvia,Lithuania,1
100,Germany,Poland,1
101,Estonia,Germany,1
102,Estonia,Latvia,1
103,Latvia,Lithuania,1
104,Finland,Lithuania,1
105,Germany,Poland,1
106,Estonia,Germany,1
107,Estonia,Latvia,1
108,Latvia,Lithuania,1
109,Finland,Lithuania,1
110,Finland,Germany,1
111,Germany,Poland,1
112,Germany,Poland,1
113,Estonia,Germany,1
114,Estonia,Latvia,1
115,Latvia,Lithuania,1
116,Finland,Lithuania,1
