,source,target,value
0,France,Russia,12
1,Germany,Russia,26
2,Austria,Germany,17
3,Austria,Hungary,6
4,Bulgaria,Hungary,6
5,Bulgaria,Russia,5
6,Germany,Italy,29
7,France,Poland,11
8,France,Germany,28
9,Germany,Poland,27
10,Estonia,Germany,5
11,Estonia,Latvia,12
12,Latvia,Lithuania,6
13,Finland,Lithuania,11
14,Finland,Germany,5
15,Netherlands,Poland,5
16,Luxembourg,Netherlands,6
17,Belgium,Luxembourg,4
18,Belgium,Denmark,5
19,Denmark,Norway,12
20,Denmark,Sweden,5
21,Germany,Sweden,6
22,France,Italy,4
23,Albania,Greece,12
24,Greece,Ukraine,1
25,Belarus,Ukraine,6
26,Belarus,Libya,2
27,Egypt,Libya,16
28,Egypt,Iraq,5
29,Germany,Japan,23
30,Japan,Russia,14
31,Germany,Morocco,1
32,Algeria,Morocco,6
33,Algeria,Italy,6
34,China,Japan,28
35,Japan,Thailand,6
36,Singapore,Thailand,6
37,Japan,Singapore,4
38,Japan,Philippines,11
39,India,Japan,12
40,China,France,6
41,China,India,12
42,India,Pakistan,18
43,Israel,Pakistan,6
44,Israel,Libya,5
45,Iran,Libya,6
46,Germany,Iran,3
47,France,Japan,4
48,Pakistan,Philippines,5
49,Laos,Philippines,5
50,Cambodia,Laos,6
51,Cambodia,Kenya,5
52,Ghana,Kenya,6
53,Ghana,Guinea,3
54,Angola,Guinea,6
55,Angola,Mozambique,6
56,Estonia,Lithuania,6
57,Finland,Romania,6
58,Albania,Romania,5
59,Albania,Bulgaria,6
60,Bulgaria,Poland,6
61,Poland,Romania,6
62,Hungary,Romania,6
63,Hungary,Mongolia,5
64,China,Mongolia,6
65,China,Cuba,6
66,Australia,Canada,6
67,Australia,Vietnam,4
68,Korea,Vietnam,6
69,Cambodia,Korea,2
70,Cambodia,Vietnam,3
71,Cuba,Vietnam,5
72,Finland,Russia,6
73,Germany,Norway,6
74,Greece,Italy,2
75,Italy,Japan,6
76,Romania,Russia,6
77,India,Lebanon,1
78,India,Singapore,5
